epoch,step,train_loss_step
0,9,0.00012306065764278173
0,19,9.971637337002903e-05
0,29,8.805064135231078e-05
0,39,7.987803837750107e-05
0,49,8.453275222564116e-05
0,59,8.358304330613464e-05
0,69,8.05383751867339e-05
0,79,7.610838656546548e-05
0,89,8.063933637458831e-05
0,99,8.248935773735866e-05
0,109,8.496166992699727e-05
0,119,7.917404582258314e-05
0,129,7.738747808616608e-05
0,139,7.910793647170067e-05
0,149,8.130010974127799e-05
0,159,8.347143739229068e-05
0,169,8.14065060694702e-05
0,179,7.651590567547828e-05
0,189,8.251673716586083e-05
0,199,7.620374526595697e-05
0,209,7.982994429767132e-05
0,219,7.808057125657797e-05
0,229,7.701764843659475e-05
0,239,8.025543502299115e-05
0,249,7.670195918763056e-05
0,259,7.77073873905465e-05
0,269,7.51599291106686e-05
0,279,7.512314186897129e-05
0,289,7.359080336755142e-05
0,299,7.709916098974645e-05
0,309,7.82618808443658e-05
0,319,8.35777391330339e-05
0,329,7.975592598086223e-05
0,339,7.787648064550012e-05
0,349,7.590673340018839e-05
0,359,8.06582611403428e-05
0,369,0.00010849688987946138
0,379,7.5980402471032e-05
0,389,8.220894960686564e-05
0,399,7.259962148964405e-05
0,409,7.826790533727035e-05
0,419,7.762107270536944e-05
0,429,7.789547817083076e-05
0,439,7.716914115007967e-05
0,449,7.777939026709646e-05
0,459,7.540304795838892e-05
0,469,8.087286551017314e-05
0,479,7.630683830939233e-05
0,489,7.931990694487467e-05
0,499,8.310715202242136e-05
0,509,7.608086161781102e-05
0,519,7.670359627809376e-05
0,529,7.976916094776243e-05
0,539,7.22237309673801e-05
0,549,7.432136044371873e-05
0,559,7.992777682375163e-05
0,569,7.4239622335881e-05
0,579,7.3747563874349e-05
0,589,7.871364505263045e-05
0,599,7.575636118417606e-05
0,609,8.042786794248968e-05
0,619,8.188116771634668e-05
0,629,7.634620124008507e-05
0,639,7.991754682734609e-05
0,649,7.252400246215984e-05
0,659,7.553581235697493e-05
0,669,7.110932347131893e-05
0,679,7.62693234719336e-05
0,689,7.904707308625802e-05
0,699,8.138959674397483e-05
0,709,7.5092728366144e-05
0,719,7.573214679723606e-05
0,729,7.496862963307649e-05
0,739,7.389396341750398e-05
0,749,7.717225525993854e-05
